winner_tie,loser_tie,Winner Conference,Loser Conference,year,date,day,bowl_name,winner_points,loser_points,Winner 2024 Avg Attendance,Winner 2023 Avg Attendance,Winner 5 Yr Avg Attendance,Loser 2024 Avg Attendance,Loser 2023 Avg Attendance,Loser 5 Yr Avg Attendance,Winner Capacity %,Loser Capacity %
Nebraska,Tennessee,Big Ten,SEC,1999,2000-01-02,Sun,Fiesta Bowl,31,21,86900,86802,87599,101915,101915,93936,101,100
Kansas State,Syracuse,Big 12,ACC,1997,1997-12-31,Wed,Fiesta Bowl,35,18,51536,51957,49609,39130,34045,37308,103,79
Penn State,Texas,Big Ten,SEC,1996,1997-01-01,Wed,Fiesta Bowl,38,15,108379,108409,106750,102386,101625,97565,101,102
Nebraska,Florida,Big Ten,SEC,1995,1996-01-02,Tue,Fiesta Bowl,62,24,86900,86802,87599,90017,89587,85791,101,101
Colorado,Notre Dame,Big 12,Independent,1994,1995-01-02,Mon,Fiesta Bowl,41,24,52514,53180,47579,77622,77622,76108,104,100
Syracuse,Colorado,ACC,Big 12,1992,1993-01-01,Fri,Fiesta Bowl,26,22,39130,34045,37308,52514,53180,47579,79,104
Penn State,Tennessee,Big Ten,SEC,1991,1992-01-01,Wed,Fiesta Bowl,42,17,108379,108409,106750,101915,101915,93936,101,100
Louisville,Alabama,ACC,SEC,1990,1991-01-01,Tue,Fiesta Bowl,34,7,50863,51252,47415,100077,100077,100091,83,100
Notre Dame,West Virginia,Independent,Big 12,1988,1989-01-02,Mon,Fiesta Bowl,34,21,77622,77622,76108,52459,51156,52892,100,87
Michigan,Nebraska,Big Ten,Big Ten,1985,1986-01-01,Wed,Fiesta Bowl,27,23,110548,109971,110235,86900,86802,87599,102,101
Ohio State,Pittsburgh,Big Ten,ACC,1983,1984-01-02,Mon,Fiesta Bowl,28,23,104216,103792,102108,53077,48122,46653,101,77
Arizona State,Oklahoma,Big 12,SEC,1982,1983-01-01,Sat,Fiesta Bowl,32,21,48984,48301,47262,83513,83741,83073,87,104
Penn State,Ohio State,Big Ten,Big Ten,1980,1980-12-26,Fri,Fiesta Bowl,31,19,108379,108409,106750,104216,103792,102108,101,101
Pittsburgh,Arizona,ACC,Big 12,1979,1979-12-25,Tue,Fiesta Bowl,16,10,53077,48122,46653,46747,47320,42279,77,83
UCLA,Arkansas,Big Ten,SEC,1978,1978-12-25,Mon,Fiesta Bowl,10,10,46805,47951,46075,73392,65317,62914,51,96
Penn State,Arizona State,Big Ten,Big 12,1977,1977-12-25,Sun,Fiesta Bowl,42,30,108379,108409,106750,48984,48301,47262,101,87
Oklahoma,Wyoming,SEC,Mountain West,1976,1976-12-25,Sat,Fiesta Bowl,41,7,83513,83741,83073,21937,23163,21277,104,75
Arizona State,Nebraska,Big 12,Big Ten,1975,1975-12-26,Fri,Fiesta Bowl,17,14,48984,48301,47262,86900,86802,87599,87,101
Arizona State,Pittsburgh,Big 12,ACC,1973,1973-12-21,Fri,Fiesta Bowl,28,7,48984,48301,47262,53077,48122,46653,87,77
Arizona State,Missouri,Big 12,SEC,1972,1972-12-23,Sat,Fiesta Bowl,49,35,48984,48301,47262,62621,60169,53367,87,101
Kent State,Utah State,MAC,Mountain West,2019,2019-12-20,Fri,Frisco Bowl,51,41,8447,9511,12317,16992,19282,19188,33,66
Ohio,San Diego State,MAC,Mountain West,2018,2018-12-19,Wed,Frisco Bowl,27,0,17641,19005,17423,24770,24832,25347,73,70
Wake Forest,Rutgers,ACC,Big Ten,2021,2021-12-31,Fri,Gator Bowl,38,10,29737,30609,28645,48341,49251,42504,94,92
Tennessee,Indiana,SEC,Big Ten,2019,2020-01-02,Thu,Gator Bowl,23,22,101915,101915,93936,48374,44589,44126,100,91
Mississippi State,Louisville,SEC,ACC,2017,2017-12-30,Sat,Gator Bowl,31,27,48809,54455,54402,50863,51252,47415,79,83
Georgia Tech,Kentucky,ACC,SEC,2016,2016-12-31,Sat,Gator Bowl,33,18,38216,36290,39223,59516,60939,57155,69,97
Georgia,Penn State,SEC,Big Ten,2015,2016-01-02,Sat,Gator Bowl,24,17,93033,92746,92760,108379,108409,106750,100,101
Tennessee,Iowa,SEC,Big Ten,2014,2015-01-02,Fri,Gator Bowl,45,28,101915,101915,93936,69250,69250,67775,100,100
Nebraska,Georgia,Big Ten,SEC,2013,2014-01-01,Wed,Gator Bowl,24,19,86900,86802,87599,93033,92746,92760,101,100
Florida,Ohio State,SEC,Big Ten,2011,2012-01-02,Mon,Gator Bowl,24,17,90017,89587,85791,104216,103792,102108,101,101
Mississippi State,Michigan,SEC,Big Ten,2010,2011-01-01,Sat,Gator Bowl,52,14,48809,54455,54402,110548,109971,110235,79,102
Nebraska,Clemson,Big Ten,ACC,2008,2009-01-01,Thu,Gator Bowl,26,21,86900,86802,87599,80806,81334,80557,101,99
Texas Tech,Virginia,Big 12,ACC,2007,2008-01-01,Tue,Gator Bowl,31,28,58623,54491,54643,38999,43293,42796,97,63
West Virginia,Georgia Tech,Big 12,ACC,2006,2007-01-01,Mon,Gator Bowl,38,35,52459,51156,52892,38216,36290,39223,87,69
Virginia Tech,Louisville,ACC,ACC,2005,2006-01-02,Mon,Gator Bowl,35,24,65632,64733,61137,50863,51252,47415,99,83
Maryland,West Virginia,Big Ten,Big 12,2003,2004-01-01,Thu,Gator Bowl,41,7,36040,40314,36345,52459,51156,52892,69,87
Virginia Tech,Clemson,ACC,ACC,2000,2001-01-01,Mon,Gator Bowl,41,20,65632,64733,61137,80806,81334,80557,99,99
Georgia Tech,Notre Dame,ACC,Independent,1998,1999-01-01,Fri,Gator Bowl,35,28,38216,36290,39223,77622,77622,76108,69,100
North Carolina,Virginia Tech,ACC,ACC,1997,1998-01-01,Thu,Gator Bowl,42,3,47686,50095,48019,65632,64733,61137,94,99
North Carolina,West Virginia,ACC,Big 12,1996,1997-01-01,Wed,Gator Bowl,20,13,47686,50095,48019,52459,51156,52892,94,87
Syracuse,Clemson,ACC,ACC,1995,1996-01-01,Mon,Gator Bowl,41,0,39130,34045,37308,80806,81334,80557,79,99
Tennessee,Virginia Tech,SEC,ACC,1994,1994-12-30,Fri,Gator Bowl,45,23,101915,101915,93936,65632,64733,61137,100,99
Alabama,North Carolina,SEC,ACC,1993,1993-12-31,Fri,Gator Bowl,24,10,100077,100077,100091,47686,50095,48019,100,94
Oklahoma,Virginia,SEC,ACC,1991,1991-12-29,Sun,Gator Bowl,48,14,83513,83741,83073,38999,43293,42796,104,63
Clemson,West Virginia,ACC,Big 12,1989,1989-12-30,Sat,Gator Bowl,27,7,80806,81334,80557,52459,51156,52892,99,87
Georgia,Michigan State,SEC,Big Ten,1988,1989-01-01,Sun,Gator Bowl,34,27,93033,92746,92760,65307,70211,69959,100,87
Clemson,Stanford,ACC,ACC,1986,1986-12-27,Sat,Gator Bowl,27,21,80806,81334,80557,26035,33219,34746,99,51
Oklahoma State,South Carolina,Big 12,SEC,1984,1984-12-28,Fri,Gator Bowl,21,14,52202,53891,53999,79329,77833,74988,100,102
Florida,Iowa,SEC,Big Ten,1983,1983-12-30,Fri,Gator Bowl,14,6,90017,89587,85791,69250,69250,67775,101,100
North Carolina,Arkansas,ACC,SEC,1981,1981-12-28,Mon,Gator Bowl,31,27,47686,50095,48019,73392,65317,62914,94,96
Pittsburgh,South Carolina,ACC,SEC,1980,1980-12-29,Mon,Gator Bowl,37,9,53077,48122,46653,79329,77833,74988,77,102
North Carolina,Michigan,ACC,Big Ten,1979,1979-12-28,Fri,Gator Bowl,17,15,47686,50095,48019,110548,109971,110235,94,102
Clemson,Ohio State,ACC,Big Ten,1978,1978-12-29,Fri,Gator Bowl,17,15,80806,81334,80557,104216,103792,102108,99,101
Pittsburgh,Clemson,ACC,ACC,1977,1977-12-30,Fri,Gator Bowl,34,3,53077,48122,46653,80806,81334,80557,77,99
Notre Dame,Penn State,Independent,Big Ten,1976,1976-12-27,Mon,Gator Bowl,20,9,77622,77622,76108,108379,108409,106750,100,101
Maryland,Florida,Big Ten,SEC,1975,1975-12-29,Mon,Gator Bowl,13,0,36040,40314,36345,90017,89587,85791,69,101
Auburn,Texas,SEC,SEC,1974,1974-12-30,Mon,Gator Bowl,27,3,88043,88043,85924,102386,101625,97565,100,102
Texas Tech,Tennessee,Big 12,SEC,1973,1973-12-29,Sat,Gator Bowl,28,19,58623,54491,54643,101915,101915,93936,97,100
Auburn,Colorado,SEC,Big 12,1972,1972-12-30,Sat,Gator Bowl,24,3,88043,88043,85924,52514,53180,47579,100,104
Georgia,North Carolina,SEC,ACC,1971,1971-12-31,Fri,Gator Bowl,7,3,93033,92746,92760,47686,50095,48019,100,94
Florida,Tennessee,SEC,SEC,1969,1969-12-27,Sat,Gator Bowl,14,13,90017,89587,85791,101915,101915,93936,101,100
Missouri,Alabama,SEC,SEC,1968,1968-12-28,Sat,Gator Bowl,35,10,62621,60169,53367,100077,100077,100091,101,100
Tennessee,Syracuse,SEC,ACC,1966,1966-12-31,Sat,Gator Bowl,18,12,101915,101915,93936,39130,34045,37308,100,79
Georgia Tech,Texas Tech,ACC,Big 12,1965,1965-12-31,Fri,Gator Bowl,31,21,38216,36290,39223,58623,54491,54643,69,97
Florida,Penn State,SEC,Big Ten,1962,1962-12-29,Sat,Gator Bowl,17,7,90017,89587,85791,108379,108409,106750,101,101
Penn State,Georgia Tech,Big Ten,ACC,1961,1961-12-30,Sat,Gator Bowl,30,15,108379,108409,106750,38216,36290,39223,101,69
Florida,Baylor,SEC,Big 12,1960,1960-12-31,Sat,Gator Bowl,13,12,90017,89587,85791,42302,43388,44087,101,93
Arkansas,Georgia Tech,SEC,ACC,1959,1960-01-02,Sat,Gator Bowl,14,7,73392,65317,62914,38216,36290,39223,96,69
Tennessee,Texas A&M,SEC,SEC,1957,1957-12-28,Sat,Gator Bowl,3,0,101915,101915,93936,102847,99234,100156,100,100
Georgia Tech,Pittsburgh,ACC,ACC,1956,1956-12-29,Sat,Gator Bowl,21,14,38216,36290,39223,53077,48122,46653,69,77
Vanderbilt,Auburn,SEC,SEC,1955,1955-12-31,Sat,Gator Bowl,25,13,28091,25509,26499,88043,88043,85924,98,100
Auburn,Baylor,SEC,Big 12,1954,1954-12-31,Fri,Gator Bowl,33,13,88043,88043,85924,42302,43388,44087,100,93
Texas Tech,Auburn,Big 12,SEC,1953,1954-01-01,Fri,Gator Bowl,35,13,58623,54491,54643,88043,88043,85924,97,100
Florida,Tulsa,SEC,American,1952,1953-01-01,Thu,Gator Bowl,14,13,90017,89587,85791,20411,20187,18170,101,68
Maryland,Missouri,Big Ten,SEC,1949,1950-01-02,Mon,Gator Bowl,20,7,36040,40314,36345,62621,60169,53367,69,101
Clemson,Missouri,ACC,SEC,1948,1949-01-01,Sat,Gator Bowl,24,23,80806,81334,80557,62621,60169,53367,99,101
Maryland,Georgia,Big Ten,SEC,1947,1948-01-01,Thu,Gator Bowl,20,20,36040,40314,36345,93033,92746,92760,69,100
Wake Forest,South Carolina,ACC,SEC,1945,1946-01-01,Tue,Gator Bowl,26,14,29737,30609,28645,79329,77833,74988,94,102
Liberty,Eastern Michigan,C-USA,MAC,2021,2021-12-18,Sat,LendingTree Bowl,56,20,20345,18911,18405,15489,16882,16025,81,51
Georgia State,Western Kentucky,Sun Belt,C-USA,2020,2020-12-26,Sat,LendingTree Bowl,39,21,14431,15594,16099,13828,15710,15411,57,62
Troy,Buffalo,Sun Belt,MAC,2018,2018-12-22,Sat,LendingTree Bowl,42,32,23630,27121,25032,14785,13142,15716,77,59
Appalachian State,Toledo,Sun Belt,MAC,2017,2017-12-23,Sat,LendingTree Bowl,34,0,34623,34734,28900,21519,19675,19884,115,82
Troy,Ohio,Sun Belt,MAC,2016,2016-12-23,Fri,LendingTree Bowl,28,23,23630,27121,25032,17641,19005,17423,77,73
Georgia Southern,Bowling Green,Sun Belt,MAC,2015,2015-12-23,Wed,LendingTree Bowl,58,27,22516,21480,17277,13358,13462,14145,90,55
Toledo,Arkansas State,MAC,Sun Belt,2014,2015-01-04,Sun,LendingTree Bowl,63,44,21519,19675,19884,17871,16747,16745,82,57
Arkansas State,Ball State,Sun Belt,MAC,2013,2014-01-05,Sun,LendingTree Bowl,23,20,17871,16747,16745,9841,10771,10830,57,43
Arkansas State,Kent State,Sun Belt,MAC,2012,2013-01-06,Sun,LendingTree Bowl,17,13,17871,16747,16745,8447,9511,12317,57,33
Northern Illinois,Arkansas State,MAC,Sun Belt,2011,2012-01-08,Sun,LendingTree Bowl,38,20,12162,9456,9327,17871,16747,16745,51,57
Central Michigan,Troy,MAC,Sun Belt,2009,2010-01-06,Wed,LendingTree Bowl,44,41,17752,16350,14608,23630,27121,25032,58,77
Tulsa,Ball State,American,MAC,2008,2009-01-06,Tue,LendingTree Bowl,45,13,20411,20187,18170,9841,10771,10830,68,43
Tulsa,Bowling Green,American,MAC,2007,2008-01-06,Sun,LendingTree Bowl,63,7,20411,20187,18170,13358,13462,14145,68,55
Bowling Green,Memphis,MAC,American,2004,2004-12-22,Wed,LendingTree Bowl,52,35,13358,13462,14145,24552,29782,31253,55,39
Marshall,Louisville,Sun Belt,ACC,2002,2002-12-18,Wed,LendingTree Bowl,38,15,23022,23198,22807,50863,51252,47415,60,83
Western Kentucky,Western Michigan,C-USA,MAC,2019,2019-12-30,Mon,First Responder Bowl,23,20,13828,15710,15411,19217,17619,16560,62,63
Utah,West Virginia,Big 12,Big 12,2017,2017-12-26,Tue,First Responder Bowl,30,14,52962,52499,49833,52459,51156,52892,102,87
Louisiana Tech,Illinois,C-USA,Big Ten,2014,2014-12-26,Fri,First Responder Bowl,35,18,15999,15796,16733,54750,49698,40166,56,90
Oklahoma State,Purdue,Big 12,Big Ten,2012,2013-01-01,Tue,First Responder Bowl,58,14,52202,53891,53999,59887,58248,55370,100,97
Houston,Penn State,Big 12,Big Ten,2011,2012-01-02,Mon,First Responder Bowl,30,14,27423,36020,28369,108379,108409,106750,68,101
Duke,Temple,ACC,American,2018,2018-12-27,Thu,Independence Bowl,56,27,26183,25111,23499,13919,13446,22023,74,20
Virginia Tech,Tulsa,ACC,American,2015,2015-12-26,Sat,Independence Bowl,55,52,65632,64733,61137,20411,20187,18170,99,68
Arizona,Boston College,Big 12,ACC,2013,2013-12-31,Tue,Independence Bowl,42,19,46747,47320,42279,39839,36376,35734,83,89
Missouri,North Carolina,SEC,ACC,2011,2011-12-26,Mon,Independence Bowl,41,24,62621,60169,53367,47686,50095,48019,101,94
Georgia,Texas A&M,SEC,SEC,2009,2009-12-28,Mon,Independence Bowl,44,20,93033,92746,92760,102847,99234,100156,100,100
Louisiana Tech,Northern Illinois,C-USA,MAC,2008,2008-12-28,Sun,Independence Bowl,17,10,15999,15796,16733,12162,9456,9327,56,51
Alabama,Colorado,SEC,Big 12,2007,2007-12-30,Sun,Independence Bowl,30,24,100077,100077,100091,52514,53180,47579,100,104
Oklahoma State,Alabama,Big 12,SEC,2006,2006-12-28,Thu,Independence Bowl,34,31,52202,53891,53999,100077,100077,100091,100,100
Missouri,South Carolina,SEC,SEC,2005,2005-12-30,Fri,Independence Bowl,38,31,62621,60169,53367,79329,77833,74988,101,102
Arkansas,Missouri,SEC,SEC,2003,2003-12-31,Wed,Independence Bowl,27,14,73392,65317,62914,62621,60169,53367,96,101
Alabama,Iowa State,SEC,Big 12,2001,2001-12-27,Thu,Independence Bowl,14,13,100077,100077,100091,57884,60384,58847,100,94
Mississippi State,Texas A&M,SEC,SEC,2000,2000-12-31,Sun,Independence Bowl,43,41,48809,54455,54402,102847,99234,100156,79,100
Virginia Tech,Indiana,ACC,Big Ten,1993,1993-12-31,Fri,Independence Bowl,45,20,65632,64733,61137,48374,44589,44126,99,91
Wake Forest,Oregon,ACC,Big Ten,1992,1992-12-31,Thu,Independence Bowl,39,35,29737,30609,28645,59104,55895,53384,94,109
Georgia,Arkansas,SEC,SEC,1991,1991-12-29,Sun,Independence Bowl,24,15,93033,92746,92760,73392,65317,62914,100,96
Maryland,Louisiana Tech,Big Ten,C-USA,1990,1990-12-15,Sat,Independence Bowl,34,34,36040,40314,36345,15999,15796,16733,69,56
Oregon,Tulsa,Big Ten,American,1989,1989-12-16,Sat,Independence Bowl,27,24,59104,55895,53384,20411,20187,18170,109,68
Washington,Tulane,Big Ten,American,1987,1987-12-19,Sat,Independence Bowl,24,12,68865,68814,66220,23980,25021,19648,98,79
Minnesota,Clemson,Big Ten,ACC,1985,1985-12-21,Sat,Independence Bowl,20,13,47467,48453,44743,80806,81334,80557,93,99
Wisconsin,Kansas State,Big Ten,Big 12,1982,1982-12-11,Sat,Independence Bowl,14,3,76057,75391,75328,51536,51957,49609,100,103
Texas A&M,Oklahoma State,SEC,Big 12,1981,1981-12-12,Sat,Independence Bowl,33,16,102847,99234,100156,52202,53891,53999,100,100
Louisiana Tech,Louisville,C-USA,ACC,1977,1977-12-17,Sat,Independence Bowl,24,14,15999,15796,16733,50863,51252,47415,56,83
Utah State,Oregon State,Mountain West,Pac-12,2021,2021-12-18,Sat,LA Bowl,24,13,16992,19282,19188,35799,36969,33325,66,100
Wisconsin,Arizona State,Big Ten,Big 12,2021,2021-12-30,Thu,Las Vegas Bowl,20,13,76057,75391,75328,48984,48301,47262,100,87
Washington,Boise State,Big Ten,Mountain West,2019,2019-12-21,Sat,Las Vegas Bowl,38,7,68865,68814,66220,37235,35867,34161,98,102
Fresno State,Arizona State,Mountain West,Big 12,2018,2018-12-15,Sat,Las Vegas Bowl,31,20,40600,39969,35095,48984,48301,47262,98,87
Boise State,Oregon,Mountain West,Big Ten,2017,2017-12-16,Sat,Las Vegas Bowl,38,28,37235,35867,34161,59104,55895,53384,102,109
San Diego State,Houston,Mountain West,Big 12,2016,2016-12-17,Sat,Las Vegas Bowl,34,10,24770,24832,25347,27423,36020,28369,70,68
Utah,Colorado State,Big 12,Mountain West,2014,2014-12-20,Sat,Las Vegas Bowl,45,10,52962,52499,49833,33082,26509,26668,102,80
Boise State,Washington,Mountain West,Big Ten,2012,2012-12-22,Sat,Las Vegas Bowl,28,26,37235,35867,34161,68865,68814,66220,102,98
Boise State,Arizona State,Mountain West,Big 12,2011,2011-12-22,Thu,Las Vegas Bowl,56,24,37235,35867,34161,48984,48301,47262,102,87
Boise State,Utah,Mountain West,Big 12,2010,2010-12-22,Wed,Las Vegas Bowl,26,3,37235,35867,34161,52962,52499,49833,102,102
Wyoming,UCLA,Mountain West,Big Ten,2004,2004-12-23,Thu,Las Vegas Bowl,24,21,21937,23163,21277,46805,47951,46075,75,51
Oregon State,New Mexico,Pac-12,Mountain West,2003,2003-12-24,Wed,Las Vegas Bowl,55,14,35799,36969,33325,16001,15982,15923,100,40
UCLA,New Mexico,Big Ten,Mountain West,2002,2002-12-25,Wed,Las Vegas Bowl,27,13,46805,47951,46075,16001,15982,15923,51,40
Utah,Fresno State,Big 12,Mountain West,1999,1999-12-18,Sat,Las Vegas Bowl,17,16,52962,52499,49833,40600,39969,35095,102,98
North Carolina,San Diego State,ACC,Mountain West,1998,1998-12-19,Sat,Las Vegas Bowl,20,13,47686,50095,48019,24770,24832,25347,94,70
Nevada,Ball State,Mountain West,MAC,1996,1996-12-19,Thu,Las Vegas Bowl,18,15,17419,16998,17368,9841,10771,10830,64,43
Toledo,Nevada,MAC,Mountain West,1995,1995-12-14,Thu,Las Vegas Bowl,40,37,21519,19675,19884,17419,16998,17368,82,64
Utah State,Ball State,Mountain West,MAC,1993,1993-12-17,Fri,Las Vegas Bowl,42,33,16992,19282,19188,9841,10771,10830,66,43
Bowling Green,Nevada,MAC,Mountain West,1992,1992-12-18,Fri,Las Vegas Bowl,35,34,13358,13462,14145,17419,16998,17368,55,64
Texas Tech,Mississippi State,Big 12,SEC,2021,2021-12-28,Tue,Liberty Bowl,34,7,58623,54491,54643,48809,54455,54402,97,79
Navy,Kansas State,American,Big 12,2019,2019-12-31,Tue,Liberty Bowl,20,17,39825,30804,32300,51536,51957,49609,117,103
Oklahoma State,Missouri,Big 12,SEC,2018,2018-12-31,Mon,Liberty Bowl,38,33,52202,53891,53999,62621,60169,53367,100,101
Iowa State,Memphis,Big 12,American,2017,2017-12-30,Sat,Liberty Bowl,21,20,57884,60384,58847,24552,29782,31253,94,39
Arkansas,Kansas State,SEC,Big 12,2015,2016-01-02,Sat,Liberty Bowl,45,23,73392,65317,62914,51536,51957,49609,96,103
Texas A&M,West Virginia,SEC,Big 12,2014,2014-12-29,Mon,Liberty Bowl,45,37,102847,99234,100156,52459,51156,52892,100,87
Mississippi State,Rice,SEC,American,2013,2013-12-31,Tue,Liberty Bowl,44,7,48809,54455,54402,18143,20542,20110,79,38
Tulsa,Iowa State,American,Big 12,2012,2012-12-31,Mon,Liberty Bowl,31,17,20411,20187,18170,57884,60384,58847,68,94
Cincinnati,Vanderbilt,Big 12,SEC,2011,2011-12-31,Sat,Liberty Bowl,31,24,36615,38193,36030,28091,25509,26499,96,98
South Carolina,Houston,SEC,Big 12,2006,2006-12-29,Fri,Liberty Bowl,44,36,79329,77833,74988,27423,36020,28369,102,68
Tulsa,Fresno State,American,Mountain West,2005,2005-12-31,Sat,Liberty Bowl,31,24,20411,20187,18170,40600,39969,35095,68,98
Louisville,Boise State,ACC,Mountain West,2004,2004-12-31,Fri,Liberty Bowl,44,40,50863,51252,47415,37235,35867,34161,83,102
Colorado State,Louisville,Mountain West,ACC,2000,2000-12-29,Fri,Liberty Bowl,22,17,33082,26509,26668,50863,51252,47415,80,83
Syracuse,Houston,ACC,Big 12,1996,1996-12-27,Fri,Liberty Bowl,30,17,39130,34045,37308,27423,36020,28369,79,68
Louisville,Michigan State,ACC,Big Ten,1993,1993-12-28,Tue,Liberty Bowl,18,7,50863,51252,47415,65307,70211,69959,83,87
Indiana,South Carolina,Big Ten,SEC,1988,1988-12-28,Wed,Liberty Bowl,34,10,48374,44589,44126,79329,77833,74988,91,102
Georgia,Arkansas,SEC,SEC,1987,1987-12-29,Tue,Liberty Bowl,20,17,93033,92746,92760,73392,65317,62914,100,96
Tennessee,Minnesota,SEC,Big Ten,1986,1986-12-29,Mon,Liberty Bowl,21,14,101915,101915,93936,47467,48453,44743,100,93
Auburn,Arkansas,SEC,SEC,1984,1984-12-27,Thu,Liberty Bowl,21,15,88043,88043,85924,73392,65317,62914,100,96
Notre Dame,Boston College,Independent,ACC,1983,1983-12-29,Thu,Liberty Bowl,19,18,77622,77622,76108,39839,36376,35734,100,89
Alabama,Illinois,SEC,Big Ten,1982,1982-12-29,Wed,Liberty Bowl,21,15,100077,100077,100091,54750,49698,40166,100,90
Ohio State,Navy,Big Ten,American,1981,1981-12-30,Wed,Liberty Bowl,31,28,104216,103792,102108,39825,30804,32300,101,117
Purdue,Missouri,Big Ten,SEC,1980,1980-12-27,Sat,Liberty Bowl,28,25,59887,58248,55370,62621,60169,53367,97,101
Penn State,Tulane,Big Ten,American,1979,1979-12-22,Sat,Liberty Bowl,9,6,108379,108409,106750,23980,25021,19648,101,79
Nebraska,North Carolina,Big Ten,ACC,1977,1977-12-19,Mon,Liberty Bowl,21,17,86900,86802,87599,47686,50095,48019,101,94
Alabama,UCLA,SEC,Big Ten,1976,1976-12-20,Mon,Liberty Bowl,36,6,100077,100077,100091,46805,47951,46075,100,51
Tennessee,Maryland,SEC,Big Ten,1974,1974-12-16,Mon,Liberty Bowl,7,3,101915,101915,93936,36040,40314,36345,100,69
Georgia Tech,Iowa State,ACC,Big 12,1972,1972-12-18,Mon,Liberty Bowl,31,30,38216,36290,39223,57884,60384,58847,69,94
Tennessee,Arkansas,SEC,SEC,1971,1971-12-20,Mon,Liberty Bowl,14,13,101915,101915,93936,73392,65317,62914,100,96
Tulane,Colorado,American,Big 12,1970,1970-12-12,Sat,Liberty Bowl,17,3,23980,25021,19648,52514,53180,47579,79,104
Colorado,Alabama,Big 12,SEC,1969,1969-12-13,Sat,Liberty Bowl,47,33,52514,53180,47579,100077,100077,100091,104,100
Utah,West Virginia,Big 12,Big 12,1964,1964-12-19,Sat,Liberty Bowl,32,6,52962,52499,49833,52459,51156,52892,102,87
Penn State,Oregon,Big Ten,Big Ten,1960,1960-12-17,Sat,Liberty Bowl,41,12,108379,108409,106750,59104,55895,53384,101,109
Penn State,Alabama,Big Ten,SEC,1959,1959-12-19,Sat,Liberty Bowl,7,0,108379,108409,106750,100077,100077,100091,101,100
Texas A&M,Oklahoma State,SEC,Big 12,2019,2019-12-27,Fri,Texas Bowl,24,21,102847,99234,100156,52202,53891,53999,100,100
Baylor,Vanderbilt,Big 12,SEC,2018,2018-12-27,Thu,Texas Bowl,45,38,42302,43388,44087,28091,25509,26499,93,98
Texas,Missouri,SEC,SEC,2017,2017-12-27,Wed,Texas Bowl,33,16,102386,101625,97565,62621,60169,53367,102,101
Kansas State,Texas A&M,Big 12,SEC,2016,2016-12-28,Wed,Texas Bowl,33,28,51536,51957,49609,102847,99234,100156,103,100
Arkansas,Texas,SEC,SEC,2014,2014-12-29,Mon,Texas Bowl,31,7,73392,65317,62914,102386,101625,97565,96,102
Texas Tech,Minnesota,Big 12,Big Ten,2012,2012-12-28,Fri,Texas Bowl,34,31,58623,54491,54643,47467,48453,44743,97,93
Illinois,Baylor,Big Ten,Big 12,2010,2010-12-29,Wed,Texas Bowl,38,14,54750,49698,40166,42302,43388,44087,90,93
Navy,Missouri,American,SEC,2009,2009-12-31,Thu,Texas Bowl,35,13,39825,30804,32300,62621,60169,53367,117,101
Rice,Western Michigan,American,MAC,2008,2008-12-30,Tue,Texas Bowl,38,14,18143,20542,20110,19217,17619,16560,38,63
Rutgers,Kansas State,Big Ten,Big 12,2006,2006-12-28,Thu,Texas Bowl,37,10,48341,49251,42504,51536,51957,49609,92,103
Purdue,Tennessee,Big Ten,SEC,2021,2021-12-30,Thu,Music City Bowl,48,45,59887,58248,55370,101915,101915,93936,97,100
Louisville,Mississippi State,ACC,SEC,2019,2019-12-30,Mon,Music City Bowl,38,28,50863,51252,47415,48809,54455,54402,83,79
Auburn,Purdue,SEC,Big Ten,2018,2018-12-28,Fri,Music City Bowl,63,14,88043,88043,85924,59887,58248,55370,100,97
Tennessee,Nebraska,SEC,Big Ten,2016,2016-12-30,Fri,Music City Bowl,38,24,101915,101915,93936,86900,86802,87599,100,101
Louisville,Texas A&M,ACC,SEC,2015,2015-12-30,Wed,Music City Bowl,27,21,50863,51252,47415,102847,99234,100156,83,100
Mississippi State,Wake Forest,SEC,ACC,2011,2011-12-30,Fri,Music City Bowl,23,17,48809,54455,54402,29737,30609,28645,79,94
North Carolina,Tennessee,ACC,SEC,2010,2010-12-30,Thu,Music City Bowl,30,27,47686,50095,48019,101915,101915,93936,94,100
Clemson,Kentucky,ACC,SEC,2009,2009-12-27,Sun,Music City Bowl,21,13,80806,81334,80557,59516,60939,57155,99,97
Vanderbilt,Boston College,SEC,ACC,2008,2008-12-31,Wed,Music City Bowl,16,14,28091,25509,26499,39839,36376,35734,98,89
Kentucky,Clemson,SEC,ACC,2006,2006-12-29,Fri,Music City Bowl,28,20,59516,60939,57155,80806,81334,80557,97,99
Virginia,Minnesota,ACC,Big Ten,2005,2005-12-30,Fri,Music City Bowl,34,31,38999,43293,42796,47467,48453,44743,63,93
Minnesota,Alabama,Big Ten,SEC,2004,2004-12-31,Fri,Music City Bowl,20,16,47467,48453,44743,100077,100077,100091,93,100
Auburn,Wisconsin,SEC,Big Ten,2003,2003-12-31,Wed,Music City Bowl,28,14,88043,88043,85924,76057,75391,75328,100,100
Minnesota,Arkansas,Big Ten,SEC,2002,2002-12-30,Mon,Music City Bowl,29,14,47467,48453,44743,73392,65317,62914,93,96
Boston College,Georgia,ACC,SEC,2001,2001-12-28,Fri,Music City Bowl,20,16,39839,36376,35734,93033,92746,92760,89,100
